code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002220,天宝食品,食品,辽宁,30.2,3.89,5.47,512741.84,266773.44,231245.16,100798.99,1.84,0.244,5.03,1.47,20080228,107316.31,1.96,-0.81,-26.29,22.11,9.13,18200.0
603016,新宏泰,电气设备,江苏,67.32,0.7,1.49,91675.95,74875.85,11421.01,27593.13,1.85,0.228,5.39,3.8,20160701,33017.42,2.22,1.1,-30.56,39.74,11.84,18682.0
002631,德尔未来,家居用品,江苏,73.6,6.46,6.5,223681.59,119860.55,45882.34,12404.7,0.19,0.132,2.38,4.08,20111111,69000.25,1.06,41.42,-55.17,32.34,5.35,46800.0
600171,上海贝岭,半导体,上海,64.78,6.74,7.0,274791.53,166745.05,6620.78,115886.13,1.66,0.26,3.42,4.7,19980924,38215.01,0.55,10.37,358.75,24.14,30.91,90400.0
002119,康强电子,半导体,浙江,60.89,2.02,2.06,166730.19,90295.34,59254.36,24444.63,1.19,0.31,3.59,5.27,20070302,24339.15,1.18,8.93,46.73,21.05,4.91,16200.0
603557,起步股份,服饰,浙江,44.22,0.47,4.7,171040.88,128879.05,38515.93,53821.25,1.15,0.33,2.86,6.16,20170818,32333.97,0.69,0.0,0.0,35.66,15.64,29401.0
300500,启迪设计,建筑施工,江苏,64.59,0.43,1.34,102261.4,68958.43,5063.6,39508.23,2.94,0.58,6.26,5.41,20160204,25359.59,1.89,29.53,13.23,43.57,13.86,17665.0
002290,中科新材,家用电器,江苏,48.91,1.64,2.43,325364.47,277137.88,24172.98,77525.31,3.19,0.18,5.15,2.29,20090903,18738.0,0.77,41.64,60.61,18.51,4.3,23872.0
002414,高德红外,电器仪表,湖北,189.48,4.76,6.24,412584.25,228759.41,75485.36,206710.52,3.31,0.094,5.13,3.46,20100716,44599.65,0.71,25.44,-17.52,49.87,5.75,20200.0
300667,必创科技,电器仪表,北京,330.85,0.17,0.68,37714.45,32652.55,3711.46,15951.51,2.35,0.19,5.28,11.59,20170619,9387.41,1.38,0.0,0.0,51.56,13.03,10378.0
002682,龙洲股份,公路,福建,25.43,2.64,3.75,759555.13,416066.81,141263.02,158063.94,4.22,0.32,7.24,1.34,20120612,62663.9,1.67,110.67,264.96,16.27,3.41,24482.0
300423,鲁亿通,电气设备,山东,253.3,0.69,1.83,67273.05,50813.35,7034.06,24560.9,1.35,0.15,4.37,6.9,20150217,17972.22,0.98,27.77,16.45,31.2,8.61,9246.0
300474,景嘉微,元器件,湖南,139.51,0.67,2.7,116032.52,82336.15,1966.98,29551.75,1.09,0.439,3.69,16.61,20160331,41658.12,1.54,10.16,12.86,78.78,38.8,25035.0
002457,青龙管业,塑料,宁夏,195.42,2.77,3.35,280054.19,177960.13,41484.62,82078.68,2.45,0.058,5.4,2.08,20100803,56460.26,1.69,50.2,-9.15,30.29,1.63,74500.0
000659,*ST中富,广告包装,广东,51.44,12.86,12.86,264702.72,76790.2,138444.3,27854.08,0.22,0.073,0.51,7.35,19961203,-134096.3,-1.04,-0.29,116.39,21.27,5.82,57900.0
600962,国投中鲁,软饮料,北京,372.08,2.54,2.62,184274.88,114192.1,56328.32,52681.81,2.01,0.032,3.15,3.75,20040622,-245.24,-0.01,2.25,824.01,21.08,0.84,15120.0
603365,水星家纺,纺织,上海,27.53,0.67,2.67,263190.75,218022.05,25744.24,89942.9,3.37,1.25,7.63,3.48,20171120,77695.56,2.91,24.53,30.17,36.36,10.45,15800.0
300338,开元股份,电器仪表,湖南,45.61,1.69,3.4,275259.0,92496.05,27500.2,144339.0,4.25,0.35,6.21,3.15,20120726,24821.0,0.73,184.21,1482.6,67.63,18.68,5526.0
002304,洋河股份,白酒,江苏,22.68,12.4,15.07,3955368.0,2526792.25,784142.25,74170.4,0.49,3.704,18.89,5.93,20091106,2546643.0,16.9,15.08,15.34,62.25,33.07,20791.0
002458,益生股份,农业综合,山东,0.0,1.75,3.37,199672.56,35352.4,99414.65,102250.27,3.03,-0.549,3.96,3.29,20100810,-8238.51,-0.24,-62.42,-136.67,-14.73,-38.65,19499.0
300671,富满电子,半导体,深圳,80.3,0.25,1.01,69526.68,51245.28,15943.0,25914.81,2.56,0.66,4.93,9.45,20170705,13047.25,1.29,33.4,52.96,28.61,13.38,11043.0
002585,双星新材,塑料,江苏,43.18,8.52,11.56,890347.81,511431.75,244864.45,516709.44,4.47,0.12,6.4,0.99,20110602,97430.2,0.84,12.01,13.57,12.85,6.17,33883.0
002077,大港股份,区域地产,江苏,203.11,3.74,5.8,731249.75,389855.84,95856.43,281856.31,4.86,0.058,6.66,1.77,20061116,35487.78,0.61,-4.3,-19.15,26.15,2.57,12000.0
300463,迈克生物,医疗保健,四川,34.49,2.98,5.58,335873.94,216406.63,35756.8,55408.05,0.99,0.534,4.46,5.51,20150528,125375.86,2.25,29.56,21.37,53.15,21.99,21457.0
600686,金龙汽车,汽车整车,福建,25.8,4.43,6.07,2328394.75,2028888.0,184818.13,113023.05,1.86,0.35,5.41,2.4,19931108,126743.4,2.09,-35.39,325.86,19.83,2.24,20246.0
600288,大恒科技,软件服务,北京,108.17,4.37,4.37,313995.53,214265.45,33136.15,18708.6,0.43,0.08,3.51,2.46,20001129,77759.65,1.78,10.42,18.64,24.88,1.17,49100.0
002582,好想你,食品,河南,58.03,2.36,5.16,485177.06,217710.02,114489.67,222886.7,4.32,0.171,6.35,2.08,20110520,43554.59,0.84,196.5,494.8,30.11,3.14,22717.0
603897,长城科技,电气设备,浙江,46.61,0.45,1.78,131807.23,117523.63,10988.37,26699.49,1.5,0.995,5.96,7.78,20180410,35286.05,1.98,41.98,55.84,8.19,3.87,42986.0
002180,纳思达,电脑设备,广东,0.0,6.86,10.64,3585548.75,893282.88,318401.09,28914.34,0.27,-0.51,1.17,28.25,20071113,19894.98,0.19,634.37,-297.12,23.81,-3.12,10650.0
002066,瑞泰科技,其他建材,北京,205.03,2.31,2.31,348108.56,234814.38,73021.59,16452.7,0.71,0.032,1.74,5.09,20060823,-1534.06,-0.07,11.53,-72.65,25.34,0.51,33474.0
603703,盛洋科技,通信设备,浙江,80.83,0.96,2.3,112463.02,77160.75,23884.38,8562.71,0.37,0.116,2.34,5.36,20150423,19419.23,0.85,92.02,70.8,21.58,4.15,26350.0
002316,键桥通讯,软件服务,深圳,0.0,3.15,3.93,317528.22,168804.66,14758.4,24764.07,0.63,-0.131,2.12,4.76,20091209,12939.45,0.33,-30.57,-94.82,12.98,-16.88,17464.0
600149,*ST坊展,综合类,河北,0.0,3.8,3.8,20327.82,6159.6,1158.54,10597.37,0.28,-0.014,0.47,19.83,19991014,-35422.14,-0.93,14.62,64.53,2.12,-28.69,59018.0
002258,利尔化学,农药化肥,四川,25.01,5.24,5.24,451453.09,182767.63,179740.8,81014.02,1.54,0.767,4.54,4.23,20080708,88903.42,1.7,55.55,92.93,28.74,13.04,16800.0
002913,奥士康,半导体,湖南,43.23,0.36,1.44,190226.63,104183.22,81802.18,36910.96,2.56,0.781,13.63,3.3,20171201,36008.44,2.5,0.0,0.0,23.97,9.18,30331.0
600760,中航沈飞,航空,山东,80.32,3.45,13.97,2638917.25,2015751.0,286106.84,606856.88,4.34,0.506,5.11,7.96,19961011,-36250.85,-0.26,8.82,25.58,9.51,3.63,63410.0
002492,恒基达鑫,仓储物流,广东,47.94,3.53,4.05,157298.73,44974.73,78768.21,41984.12,1.04,0.16,2.98,2.58,20101102,33726.44,0.83,8.28,46.41,43.4,28.68,26400.0
600385,山东金泰,黄金,山东,0.0,1.43,1.48,16679.7,15145.9,58.85,29904.44,2.02,-0.043,0.43,29.66,20010723,-40843.4,-2.76,-91.43,-372.85,31.65,-25.61,13200.0
300514,友讯达,通信设备,深圳,52.68,0.25,1.0,77523.18,75126.38,1417.41,21389.97,2.14,0.78,4.86,7.79,20170426,15270.36,1.53,31.37,64.38,37.59,11.96,12000.0
000062,深圳华强,批发业,深圳,35.27,6.67,7.21,856549.88,471134.41,30930.9,97174.15,1.35,0.572,5.82,3.47,19970130,224292.3,3.11,49.66,-3.19,16.2,4.97,36600.0
600756,浪潮软件,软件服务,山东,52.2,3.24,3.24,289430.66,185604.92,18630.7,104662.46,3.23,0.382,6.64,3.0,19960923,69202.75,2.14,-4.84,7.11,47.05,9.5,62866.0
600715,文投控股,影视音像,辽宁,43.09,4.49,18.55,1049940.25,476480.06,34747.98,488327.59,2.63,0.25,3.87,2.6,19960701,40241.82,0.22,1.13,-27.81,40.46,19.06,32000.0
600846,同济科技,综合类,上海,21.8,6.25,6.25,918418.31,750889.25,16492.68,19863.63,0.32,0.408,3.31,2.69,19940311,109683.65,1.76,14.86,40.44,17.35,7.03,94395.0
300576,容大感光,染料涂料,深圳,55.29,0.4,1.2,49567.21,39274.15,2905.46,13600.61,1.13,0.259,3.4,5.62,20161220,13358.85,1.11,14.18,12.83,32.47,11.96,8448.0
603488,展鹏科技,电气设备,江苏,52.54,0.52,2.08,88551.06,72896.8,12337.51,32821.3,1.58,0.38,3.84,4.68,20170516,21667.96,1.04,-0.89,-1.88,38.43,25.5,12600.0
300688,创业黑马,综合类,北京,149.43,0.17,0.68,41396.55,40351.37,380.64,21506.17,3.16,0.41,5.14,12.32,20170810,6212.93,0.91,0.0,0.0,56.91,17.97,15720.0
