,code,name,date,nums,nlast,count,clast,amount,ratio
259,600963,岳阳林纸,2017-09-30,23,-90,4599.80,-15662.80,40892.21,4.41
260,600961,株冶集团,2017-09-30,11,-8,1757.86,-81.45,17543.42,3.33
261,600960,渤海活塞,2017-09-30,1,-31,1886.16,-753.30,14278.24,3.59
262,600959,江苏有线,2017-09-30,11,-116,589.34,-4210.65,6403.41,0.42
263,600958,东方证券,2017-09-30,56,-262,21154.65,-14452.52,339743.63,6.77
264,600919,江苏银行,2017-09-30,14,-206,829.25,-7491.51,6882.75,0.14
265,600900,长江电力,2017-09-30,144,-476,10056.97,-23925.12,151558.48,0.87
266,600898,国美通讯,2017-09-30,1,-11,1.60,-48.31,20.99,0.01
267,600895,张江高科,2017-09-30,5,-150,83.95,-3102.39,1407.80,0.05
268,600894,广日股份,2017-09-30,7,-146,223.12,-4658.40,2554.72,0.26
269,600893,航发动力,2017-09-30,37,-215,21706.15,-3973.18,678751.35,11.14
270,600889,南京化纤,2017-09-30,3,-53,104.73,-1178.32,1094.43,0.34
271,600888,新疆众和,2017-09-30,1,-18,10.50,-1371.89,78.21,0.01
272,600887,伊利股份,2017-09-30,701,-220,100470.62,3598.70,2762942.18,16.65
273,600886,国投电力,2017-09-30,15,-370,1848.82,-37486.07,13570.34,0.27
274,600885,宏发股份,2017-09-30,46,-192,4530.74,-5780.59,188116.20,8.52
275,600884,杉杉股份,2017-09-30,64,-176,4353.92,-11124.99,105016.46,5.30
276,600882,广泽股份,2017-09-30,1,-17,2.54,-2294.48,24.33,0.01
277,600881,亚泰集团,2017-09-30,4,-67,186.83,-4144.60,1033.17,0.10
278,600879,航天电子,2017-09-30,32,-164,34459.73,-16621.05,303245.58,16.11
279,600875,东方电气,2017-09-30,2,-119,44.58,-7248.84,464.97,0.02
280,600873,梅花生物,2017-09-30,19,-163,7057.65,-3615.26,45168.93,2.27
281,600872,中炬高新,2017-09-30,87,-148,7561.12,-3790.31,178669.26,9.49
282,600867,通化东宝,2017-09-30,78,-229,21307.48,-9544.38,411234.38,12.96
283,600865,百大集团,2017-09-30,3,-12,650.51,-114.16,6739.26,1.73
284,600864,哈投股份,2017-09-30,7,-19,6648.99,-2108.24,56217.23,4.21
285,600862,中航高科,2017-09-30,10,-108,781.04,-9614.33,9895.72,0.99
286,600859,王府井,2017-09-30,26,-71,934.69,-600.22,16637.48,1.55
287,600856,中天能源,2017-09-30,24,-94,8973.14,-6742.24,100319.68,11.64
288,600855,航天长峰,2017-09-30,9,-55,3206.89,-6180.05,60449.95,9.71
289,600850,华东电脑,2017-09-30,3,-66,147.29,-550.54,3154.93,0.35
290,600845,宝信软件,2017-09-30,6,-27,509.12,-394.80,8670.39,0.97
291,600837,海通证券,2017-09-30,95,-338,59301.73,-35069.47,876479.60,7.33
292,600835,上海机电,2017-09-30,15,-196,793.54,-5092.76,15624.73,0.98
293,600827,百联股份,2017-09-30,10,-181,1087.65,-8322.42,16499.58,0.70
294,600825,新华传媒,2017-09-30,1,-14,2.59,-1408.92,18.86,0.00
295,600823,世茂股份,2017-09-30,6,-67,285.21,-4548.14,1531.56,0.08
296,600821,津劝业,2017-09-30,2,-3,90.50,-38.09,827.17,0.22
297,600820,隧道股份,2017-09-30,30,-251,2543.79,-14446.10,24649.29,0.81
298,600816,安信信托,2017-09-30,4,-288,101.95,-13433.01,1289.65,0.04
299,600811,东方集团,2017-09-30,2,-100,75.20,-2552.74,384.27,0.02
300,600809,山西汾酒,2017-09-30,128,-118,7452.80,-1405.07,410276.76,8.61
301,600808,马钢股份,2017-09-30,21,-192,7840.32,-20301.14,36065.49,1.31
302,600804,鹏博士,2017-09-30,26,-200,4453.43,-4318.62,88222.46,3.11
303,600803,新奥股份,2017-09-30,5,-67,1605.15,-2712.49,21942.42,1.63
304,600801,华新水泥,2017-09-30,50,-136,4526.46,-1930.57,65316.87,4.65
305,600798,宁波海运,2017-09-30,2,-23,300.00,-741.17,1740.00,0.29
306,600797,浙大网新,2017-09-30,4,-29,33.89,-600.66,521.86,0.04
307,600795,国电电力,2017-09-30,22,-304,27857.25,-48852.60,92486.07,1.42
308,600794,保税科技,2017-09-30,2,-13,21.95,-732.80,102.71,0.02
309,600790,轻纺城,2017-09-30,2,-43,50.50,-3081.88,334.31,0.05
310,600784,鲁银投资,2017-09-30,1,-18,484.36,-924.08,3143.50,0.85
311,600782,新钢股份,2017-09-30,40,-110,9913.65,-9485.91,62456.02,3.56
312,600779,水井坊,2017-09-30,90,-25,6331.87,742.79,264798.85,12.96
313,600777,新潮能源,2017-09-30,1,-17,100.00,-3748.37,412.00,0.04
314,600776,东方通信,2017-09-30,1,-58,19.56,-727.98,156.87,0.02
315,600775,南京熊猫,2017-09-30,3,-24,64.00,-467.40,775.68,0.10
316,600773,西藏城投,2017-09-30,1,-62,3.94,-2311.42,57.92,0.01
317,600771,广誉远,2017-09-30,5,-54,184.23,-1575.60,6923.33,0.76
318,600770,综艺股份,2017-09-30,4,-94,31.90,-1855.01,266.05,0.02
319,600765,中航重机,2017-09-30,1,-93,371.90,-13083.82,5299.62,0.48
320,600763,通策医疗,2017-09-30,9,-79,613.12,-4601.80,14475.83,1.91
321,600761,安徽合力,2017-09-30,5,-87,1849.97,-2616.60,18703.18,2.50
322,600760,中航黑豹,2017-09-30,13,-27,1465.14,-920.92,49302.03,4.25
323,600757,长江传媒,2017-09-30,9,-144,908.41,-4446.51,6976.57,0.75
324,600755,厦门国贸,2017-09-30,14,-130,693.48,-5626.00,6768.33,0.39
325,600754,锦江股份,2017-09-30,28,-145,1050.01,-1092.77,32970.17,2.35
326,600751,天海投资,2017-09-30,3,-78,34.76,-2436.00,212.04,0.02
327,600750,江中药业,2017-09-30,12,-148,624.91,-3156.23,18840.94,2.08
328,600745,闻泰科技,2017-09-30,34,-14,2214.69,1380.09,59929.48,4.58
