date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-13,7.08,7.08,7.08,7.04,192619.2,0.0,0.0,7.07,7.059,7.096,218861.35,188226.21,198882.67,0.35
2017-10-12,7.06,7.14,7.08,7.05,310041.53,0.02,0.28,7.06,7.06,7.098,199188.6,203138.27,195135.46,0.57
2017-10-11,7.08,7.08,7.06,7.03,255679.95,-0.01,-0.14,7.046,7.062,7.1,165304.79,188791.56,190796.54,0.47
2017-10-10,7.06,7.08,7.07,7.05,172148.86,0.01,0.14,7.044,7.072,7.106,173052.35,183184.47,187363.42,0.32
2017-10-09,7.06,7.1,7.06,7.05,163817.19,0.03,0.43,7.046,7.08,7.111,166019.67,196565.31,186388.97,0.3
2017-09-29,7.02,7.04,7.03,7.02,94255.47,0.02,0.28,7.048,7.098,7.116,157591.08,210769.02,187345.75,0.17
2017-09-28,7.05,7.05,7.01,7.01,140622.48,-0.04,-0.57,7.06,7.109,7.123,207087.95,219130.83,191382.39,0.26
2017-09-27,7.08,7.08,7.05,7.02,294417.75,-0.03,-0.42,7.078,7.12,7.134,212278.32,216771.73,190334.69,0.54
2017-09-26,7.07,7.09,7.08,7.05,136985.44,0.01,0.14,7.1,7.129,7.142,193316.59,200761.76,184030.29,0.25
2017-09-25,7.09,7.12,7.07,7.06,121674.26,-0.02,-0.28,7.114,7.13,7.147,227110.96,205301.38,187724.67,0.22
2017-09-22,7.1,7.14,7.09,7.06,341739.81,-0.01,-0.14,7.148,7.133,7.156,263946.96,209539.14,205742.7,0.63
2017-09-21,7.16,7.19,7.1,7.1,166574.34,-0.06,-0.84,7.158,7.136,7.156,231173.71,187132.66,195327.11,0.31
2017-09-20,7.18,7.22,7.16,7.1,199609.12,0.01,0.14,7.162,7.138,7.153,221265.14,192801.52,192867.18,0.37
2017-09-19,7.26,7.32,7.15,7.14,305957.25,-0.09,-1.24,7.158,7.14,7.151,208206.93,191542.38,187517.2,0.56
2017-09-18,7.15,7.28,7.24,7.12,305854.28,0.1,1.4,7.146,7.141,7.147,183491.81,176212.63,178744.44,0.56
2017-09-15,7.12,7.17,7.14,7.08,177873.56,0.02,0.28,7.118,7.133,7.141,155131.31,163922.48,170809.49,0.33
