date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-17,102.92,102.95,102.94,102.92,745443.0,0.02,0.02,102.898,102.818,102.718,695180.0,647299.05,664165.0
2017-10-16,102.9,103.0,102.92,102.9,656829.0,0.01,0.01,102.876,102.793,102.697,668685.21,649344.5,661314.56
2017-10-13,102.89,102.92,102.91,102.8,669980.56,0.04,0.04,102.85,102.769,102.676,646293.97,645945.75,663695.61
2017-10-12,102.86,102.88,102.87,102.85,684770.75,0.02,0.02,102.822,102.748,102.656,637887.45,642426.68,664235.59
2017-10-11,102.84,102.85,102.85,102.83,718876.69,0.02,0.02,102.778,102.727,102.636,619116.9,639556.76,663099.47
2017-10-10,102.81,102.84,102.83,102.8,612969.06,0.04,0.04,102.738,102.703,102.617,599418.1,634921.65,661714.26
2017-10-09,102.79,102.8,102.79,102.78,544872.81,0.02,0.02,102.71,102.678,102.599,630003.79,636113.79,668892.66
2017-09-29,102.78,102.82,102.77,102.75,627947.94,0.12,0.12,102.688,102.657,102.582,645597.53,650295.36,677356.62
2017-09-28,102.66,102.67,102.65,102.61,590918.0,0.0,0.0,102.674,102.637,102.565,646965.91,653772.08,681972.61
2017-09-27,102.69,102.7,102.65,102.64,620382.69,-0.04,-0.04,102.676,102.628,102.552,659996.61,677461.88,689784.51
2017-09-26,102.67,102.69,102.69,102.67,765897.5,0.01,0.01,102.668,102.617,102.538,670425.2,681030.94,716787.32
2017-09-25,102.69,102.7,102.68,102.64,622841.5,-0.02,-0.02,102.646,102.601,102.521,642223.79,673284.62,710019.05
2017-09-22,102.65,102.71,102.7,102.65,634789.88,0.04,0.04,102.626,102.584,102.504,654993.2,681445.47,709125.54
2017-09-21,102.61,102.69,102.66,102.61,656071.5,0.05,0.05,102.6,102.564,102.486,660578.25,686044.5,714573.07
2017-09-20,102.59,102.62,102.61,102.59,672525.62,0.03,0.03,102.58,102.546,102.47,694927.15,686642.18,709335.8
2017-09-19,102.59,102.59,102.58,102.57,624890.44,0.0,0.0,102.566,102.532,102.454,691636.69,688506.87,697685.69
2017-09-18,102.58,102.58,102.58,102.57,686688.56,0.01,0.01,102.556,102.52,102.441,704345.46,701671.54,690575.96
2017-09-15,102.57,102.58,102.57,102.56,662715.12,0.01,0.01,102.542,102.507,102.426,707897.75,704417.88,689981.39
2017-09-14,102.54,102.56,102.56,102.54,827816.0,0.02,0.02,102.528,102.492,102.411,711510.75,710173.15,683863.48
2017-09-13,102.53,102.54,102.54,102.53,656073.31,0.01,0.01,102.512,102.476,102.395,678357.21,702107.14,672247.59
2017-09-12,102.52,102.53,102.53,102.52,688434.31,0.02,0.02,102.498,102.458,102.38,685377.05,752543.71,666190.79
2017-09-11,102.51,102.52,102.51,102.51,704450.0,0.01,0.01,102.484,102.441,102.365,698997.61,746753.47,659386.93
2017-09-08,102.5,102.5,102.5,102.5,680780.12,0.02,0.02,102.472,102.424,102.351,700938.01,736805.61,661946.33
2017-09-07,102.48,102.49,102.48,102.48,662048.31,0.01,0.01,102.456,102.408,102.336,708835.55,743101.64,658280.82
2017-09-06,102.47,102.47,102.47,102.47,691172.5,0.01,0.01,102.44,102.393,102.322,725857.06,732029.41,656683.6
2017-09-05,102.46,102.47,102.46,102.45,756537.12,0.01,0.01,102.418,102.377,102.308,819710.36,706864.52,645507.65
2017-09-04,102.43,102.45,102.45,102.43,714152.0,0.03,0.03,102.398,102.361,102.293,794509.33,679480.39,636887.0
2017-09-01,102.41,102.42,102.42,102.41,720267.81,0.02,0.02,102.376,102.345,102.279,772673.2,675544.9,629296.45
2017-08-31,102.36,102.4,102.4,102.36,747155.88,0.04,0.04,102.36,102.331,102.265,777367.74,657553.81,637316.06
2017-08-30,102.36,102.36,102.36,102.35,1160439.0,0.0,0.0,102.346,102.315,102.251,738201.76,642388.03,636796.55
2017-08-29,102.35,102.36,102.36,102.34,630531.94,0.02,0.02,102.336,102.302,102.238,594018.68,579837.88,612080.7
2017-08-28,102.36,102.36,102.34,102.34,604971.38,0.0,0.0,102.324,102.289,102.224,564451.46,572020.4,616522.99
2017-08-25,102.35,102.36,102.34,102.34,743740.5,0.01,0.01,102.314,102.278,102.21,578416.59,587087.06,618536.23
2017-08-24,102.31,102.33,102.33,102.31,551326.0,0.02,0.02,102.302,102.265,102.196,537739.88,573459.99,609482.43
2017-08-23,102.3,102.31,102.31,102.3,439523.59,0.01,0.01,102.284,102.251,102.182,546574.3,581337.8,613750.25
2017-08-22,102.29,102.3,102.3,102.29,482695.81,0.01,0.01,102.268,102.238,102.168,565657.07,584150.77,621910.44
2017-08-21,102.28,102.29,102.29,102.28,674797.06,0.01,0.01,102.254,102.225,102.154,579589.34,594293.62,627242.77
2017-08-18,102.27,102.3,102.28,102.26,540356.94,0.04,0.04,102.242,102.212,102.139,595757.52,583048.01,626450.7
2017-08-17,102.24,102.25,102.24,102.23,595498.12,0.01,0.01,102.228,102.199,102.124,609180.1,617078.31,632377.64
2017-08-16,102.24,102.24,102.23,102.23,534937.44,0.0,0.0,102.218,102.187,102.109,616101.29,631205.06,639121.94
2017-08-15,102.23,102.23,102.23,102.22,552357.12,0.0,0.0,102.208,102.174,102.095,602644.47,644323.51,644629.2
2017-08-14,102.23,102.23,102.23,102.22,755638.0,0.02,0.02,102.196,102.158,102.08,608997.9,661025.57,655605.26
2017-08-11,102.21,102.21,102.21,102.21,607469.81,0.02,0.02,102.182,102.142,102.065,570338.5,649985.41,650355.04
2017-08-10,102.19,102.19,102.19,102.18,630104.06,0.01,0.01,102.17,102.127,102.05,624976.53,645504.87,664753.82
2017-08-09,102.18,102.18,102.18,102.18,467653.38,0.01,0.01,102.156,102.113,102.035,646308.83,646162.71,662964.95
2017-08-08,102.16,102.18,102.17,102.16,584124.25,0.01,0.01,102.14,102.098,102.021,686002.55,659670.11,666592.49
2017-08-07,102.15,102.16,102.16,102.15,562341.0,0.01,0.01,102.12,102.082,102.006,713053.25,660191.93,664960.04
2017-08-04,102.14,102.15,102.15,102.13,880659.94,0.03,0.03,102.102,102.066,101.992,729632.31,669853.38,671907.35
2017-08-03,102.1,102.12,102.12,102.1,736765.56,0.02,0.02,102.084,102.049,101.977,666033.21,647676.98,663990.44
2017-08-02,102.08,102.11,102.1,102.08,666122.0,0.03,0.03,102.07,102.032,101.964,646016.59,647038.81,670682.84
2017-08-01,102.07,102.08,102.07,102.07,719377.75,0.0,0.0,102.056,102.016,101.952,633337.68,644934.89,666639.84
2017-07-31,102.06,102.1,102.07,102.06,645236.31,0.01,0.01,102.044,102.002,101.939,607330.6,650184.94,662762.63
2017-07-28,102.05,102.07,102.06,102.05,562664.44,0.01,0.01,102.03,101.988,101.924,610074.45,650724.66,669377.49
2017-07-27,102.04,102.05,102.05,102.03,636682.44,0.02,0.02,102.014,101.973,101.908,629320.74,684002.77,696230.39
2017-07-26,102.02,102.03,102.03,102.01,602727.44,0.02,0.02,101.994,101.957,101.891,648061.04,679767.19,711697.54
2017-07-25,102.0,102.01,102.01,102.0,589342.38,0.01,0.01,101.976,101.943,101.875,656532.1,673514.87,723962.08
2017-07-24,102.0,102.0,102.0,101.99,658955.56,0.02,0.02,101.96,101.93,101.86,693039.28,669728.16,736864.01
2017-07-21,101.97,101.98,101.98,101.97,658895.88,0.03,0.03,101.946,101.917,101.844,691374.88,673961.33,755922.18
2017-07-20,101.93,101.96,101.95,101.93,730383.94,0.01,0.01,101.932,101.905,101.83,738684.8,680303.91,764887.93
2017-07-19,101.94,101.94,101.94,101.93,645082.75,0.01,0.01,101.92,101.896,101.815,711473.34,694326.86,769171.94
2017-07-18,101.94,101.94,101.93,101.93,771878.25,0.0,0.0,101.91,101.887,101.8,690497.64,688344.79,786269.51
2017-07-17,101.93,101.93,101.93,101.93,650633.56,0.02,0.02,101.9,101.875,101.784,646417.04,675340.33,788655.1
2017-07-14,101.9,101.91,101.91,101.9,895445.5,0.02,0.02,101.888,101.86,101.769,656547.77,688030.32,793849.97
2017-07-13,101.89,101.9,101.89,101.89,594326.62,0.0,0.0,101.878,101.844,101.753,621923.01,708458.01,785978.9
2017-07-12,101.89,101.89,101.89,101.88,540204.25,0.01,0.01,101.872,101.826,101.738,677180.39,743627.89,797053.85
2017-07-11,101.87,101.88,101.88,101.87,551475.25,0.01,0.01,101.864,101.808,101.722,686191.95,774409.28,809628.48
2017-07-10,101.86,101.87,101.87,101.86,701287.25,0.01,0.01,101.85,101.79,101.706,704263.62,803999.86,818258.4
2017-07-07,101.86,101.87,101.86,101.85,722321.69,0.0,0.0,101.832,101.771,101.69,719512.86,837883.03,821799.52
2017-07-06,101.85,101.86,101.86,101.82,870613.5,0.01,0.01,101.81,101.754,101.673,794993.0,849471.95,827845.18
2017-07-05,101.81,101.86,101.85,101.8,585262.06,0.04,0.04,101.78,101.734,101.656,810075.39,844017.02,825697.78
2017-07-04,101.79,101.81,101.81,101.79,641833.62,0.03,0.03,101.752,101.713,101.639,862626.61,884194.22,832320.02
2017-07-03,101.77,101.78,101.78,101.77,777533.44,0.03,0.03,101.73,101.693,101.623,903736.1,901969.87,834286.01
