code,name,year,report_date,divi,shares
300088,长信科技,2015,2016-04-15,1,0
2429,兆驰股份,2015,2016-04-15,0.8,0
2447,壹桥股份,2015,2016-04-15,0.3,0
2357,富临运业,2015,2016-04-15,1.9,0
2355,兴民智通,2015,2016-04-15,0.1,0
2495,佳隆股份,2015,2016-04-15,0.1,0
2270,华明装备,2015,2016-04-15,0.8,0
2246,北化股份,2015,2016-04-15,0.2,0
2544,杰赛科技,2015,2016-04-15,0.3,0
2290,中科新材,2015,2016-04-15,1,0
603199,九华旅游,2015,2016-04-15,1.3,0
600048,保利地产,2015,2016-04-15,3.5,0
2087,新野纺织,2015,2016-04-15,0.3,0
2050,三花智控,2015,2016-04-15,1,0
2047,宝鹰股份,2015,2016-04-15,0.7,0
600995,文山电力,2015,2016-04-15,0.7,0
600491,龙元建设,2015,2016-04-15,0.2,0
600479,千金药业,2015,2016-04-15,1.5,0
600507,方大特钢,2015,2016-04-15,0.2,0
600436,片仔癀,2015,2016-04-15,3.5,5
600039,四川路桥,2015,2016-04-15,0.5,0
669,金鸿控股,2015,2016-04-15,1.5,0
547,航天发展,2015,2016-04-15,0.5,0
600884,杉杉股份,2015,2016-04-15,1.8,10
600820,隧道股份,2015,2016-04-15,1.5,0
600791,京能置业,2015,2016-04-15,0.2,0
158,常山北明,2015,2016-04-15,0.4,0
27,深圳能源,2015,2016-04-15,2,0
600712,南宁百货,2015,2016-04-15,0.2,0
600628,新世界,2015,2016-04-15,0.6,0
600345,长江通信,2015,2016-04-15,1,0
600337,美克家居,2015,2016-04-15,3.1,0
600333,长春燃气,2015,2016-04-15,0.5,0
600260,凯乐科技,2015,2016-04-15,0.5,0
603568,伟明环保,2015,2016-04-16,2,5
300380,安硕信息,2015,2016-04-16,1,0
603699,纽威股份,2015,2016-04-16,2.5,0
300347,泰格医药,2015,2016-04-16,1,0
2746,仙坛股份,2015,2016-04-16,1,0
603588,高能环境,2015,2016-04-16,1,10
300241,瑞丰光电,2015,2016-04-16,0.2,0
300196,长海股份,2015,2016-04-16,1.5,0
2481,双塔食品,2015,2016-04-16,0.1,0
603606,东方电缆,2015,2016-04-16,0.3,0
300098,高新兴,2015,2016-04-16,0.1,0
601877,正泰电器,2015,2016-04-16,2,0
2274,华昌化工,2015,2016-04-16,1,0
2520,日发精机,2015,2016-04-16,0.5,5
2350,北京科锐,2015,2016-04-16,0.5,0
2694,顾地科技,2015,2016-04-16,0.1,0
603066,音飞储存,2015,2016-04-16,1.4,0
2427,尤夫股份,2015,2016-04-16,1.2,0
2222,福晶科技,2015,2016-04-16,0.5,5
2017,东信和平,2015,2016-04-16,0.3,0
600477,杭萧钢构,2015,2016-04-16,0.6,3
600773,西藏城投,2015,2016-04-16,0.1,0
88,盐田港,2015,2016-04-16,0.3,0
56,皇庭国际,2015,2016-04-16,0,20
600713,南京医药,2015,2016-04-16,0.2,0
600624,复旦复华,2015,2016-04-16,0.3,3
600587,新华医疗,2015,2016-04-16,0.7,0
600568,中珠医疗,2015,2016-04-16,0.2,0
600557,康缘药业,2015,2016-04-16,0.8,2
600501,航天晨光,2015,2016-04-16,0.2,0
600496,精工钢构,2015,2016-04-16,0.2,0
600318,新力金融,2015,2016-04-16,1,0
600308,华泰股份,2015,2016-04-16,0.2,0
600229,城市传媒,2015,2016-04-16,1,0
600208,新湖中宝,2015,2016-04-16,0.5,0
600180,瑞茂通,2015,2016-04-16,0.4,0
600172,黄河旋风,2015,2016-04-16,0.5,0
600166,福田汽车,2015,2016-04-16,0.4,0
600150,中国船舶,2015,2016-04-16,0.2,0
600128,弘业股份,2015,2016-04-16,0.9,0
